"Fact","Fact Note","Santa Barbara County, California","Value Note for Santa Barbara County, California","San Mateo County, California","Value Note for San Mateo County, California","San Luis Obispo County, California","Value Note for San Luis Obispo County, California","San Joaquin County, California","Value Note for San Joaquin County, California","San Francisco County, California","Value Note for San Francisco County, California","San Diego County, California","Value Note for San Diego County, California"
"Persons per household, 2015-2019","","2.91","","2.87","","2.51","","3.17","","2.36","","2.87",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","80.9%","","88.0%","","82.2%","","86.8%","","85.6%","","84.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","40.3%","","45.7%","","18.0%","","40.9%","","42.9%","","37.6%",""
"Households with a computer, percent, 2015-2019","","92.9%","","95.3%","","94.0%","","91.0%","","93.1%","","94.9%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","87.8%","","91.0%","","88.0%","","82.9%","","87.6%","","90.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","80.9%","","89.6%","","91.3%","","79.3%","","88.5%","","87.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","34.2%","","51.0%","","35.4%","","18.8%","","58.1%","","38.8%",""
"With a disability, under age 65 years, percent, 2015-2019","","6.2%","","4.3%","","7.1%","","8.7%","","5.7%","","6.2%",""
"Persons  without health insurance, under age 65 years, percent","","11.5%","","4.9%","","7.4%","","7.8%","","4.8%","","9.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","63.6%","","68.8%","","57.7%","","60.3%","","71.1%","","63.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","58.3%","","63.2%","","53.8%","","53.6%","","67.0%","","58.9%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","1,428,929","","2,552,854","","824,771","","808,606","","6,142,745","","10,403,824",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","2,637,280","","5,166,992","","1,580,460","","3,447,722","","10,175,813","","21,337,795",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","4,157,565","","D","","2,854,029","","9,212,428","","D","","33,320,461",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","3,475,600","","15,969,681","","D","","11,713,538","","11,121,715","","35,937,366",""
"Total retail sales, 2012 ($1,000)","(c)","4,853,808","","11,330,620","","3,624,029","","7,059,491","","14,632,652","","39,786,069",""
"Total retail sales per capita, 2012","(c)","$11,255","","$15,326","","$13,188","","$10,047","","$17,718","","$12,523",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","20.5","","29.3","","21.7","","34.2","","33.8","","26.5",""
"Median household income (in 2019 dollars), 2015-2019","","$74,624","","$122,641","","$73,518","","$64,432","","$112,449","","$78,980",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$36,039","","$61,545","","$37,233","","$27,521","","$68,883","","$38,073",""
"Persons in poverty, percent","","12.0%","","6.1%","","11.6%","","13.6%","","9.5%","","10.3%",""
"Total employer establishments, 2018","","11,765","","21,480","","8,510","","11,715","","34,671","","86,070",""
"Total employment, 2018","","153,488","","399,111","","93,500","","194,835","","673,488","","1,291,966",""
"Total annual payroll, 2018 ($1,000)","","8,503,790","","52,803,235","","4,350,834","","8,815,841","","75,901,187","","77,600,845",""
"Total employment, percent change, 2017-2018","","2.5%","","3.4%","","1.9%","","2.0%","","3.1%","","2.0%",""
"Total nonemployer establishments, 2018","","35,272","","73,688","","26,143","","42,899","","100,598","","292,941",""
"All firms, 2012","","39,952","","75,507","","28,626","","41,940","","116,803","","293,426",""
"Men-owned firms, 2012","","20,585","","39,910","","14,544","","21,962","","63,864","","154,416",""
"Women-owned firms, 2012","","13,911","","26,594","","9,282","","14,941","","40,135","","105,329",""
"Minority-owned firms, 2012","","10,340","","30,914","","4,950","","20,472","","46,128","","106,472",""
"Nonminority-owned firms, 2012","","27,596","","40,894","","22,457","","19,915","","64,708","","175,754",""
"Veteran-owned firms, 2012","","3,254","","5,141","","2,588","","3,449","","6,378","","25,354",""
"Nonveteran-owned firms, 2012","","34,332","","66,645","","24,340","","36,663","","104,957","","255,209",""
"Population per square mile, 2010","","155.0","","1,602.2","","81.7","","492.6","","17,179.1","","735.8",""
"Land area in square miles, 2010","","2,735.09","","448.41","","3,298.57","","1,391.32","","46.87","","4,206.63",""
"FIPS Code","","""06083""","","""06081""","","""06079""","","""06077""","","""06075""","","""06073""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
