"Fact","Fact Note","Merced County, California","Value Note for Merced County, California","Mendocino County, California","Value Note for Mendocino County, California","Mariposa County, California","Value Note for Mariposa County, California","Marin County, California","Value Note for Marin County, California","Madera County, California","Value Note for Madera County, California","Los Angeles County, California","Value Note for Los Angeles County, California"
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","53.3%","","21.4%","","9.6%","","21.9%","","45.3%","","56.6%",""
"Households with a computer, percent, 2015-2019","","91.1%","","87.8%","","86.3%","","95.0%","","89.8%","","92.0%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","83.9%","","81.1%","","74.9%","","91.3%","","79.9%","","84.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","69.1%","","86.5%","","90.6%","","93.3%","","71.9%","","79.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","13.8%","","24.4%","","24.6%","","59.5%","","14.6%","","32.5%",""
"With a disability, under age 65 years, percent, 2015-2019","","9.1%","","12.6%","","15.0%","","5.1%","","8.7%","","6.1%",""
"Persons  without health insurance, under age 65 years, percent","","9.0%","","10.0%","","8.3%","","4.8%","","10.7%","","10.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","59.6%","","58.2%","","51.8%","","63.7%","","54.3%","","64.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","51.0%","","53.0%","","48.0%","","58.8%","","47.9%","","58.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","232,910","","182,602","","157,933","","729,652","","150,065","","22,965,135",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","788,114","","427,217","","D","","2,102,255","","760,956","","67,261,267",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","4,435,633","","453,444","","D","","D","","1,441,125","","163,829,606",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","2,260,180","","407,625","","18,908","","1,864,552","","508,930","","199,804,798",""
"Total retail sales, 2012 ($1,000)","(c)","1,959,473","","1,095,233","","102,452","","5,087,526","","1,012,856","","121,389,378",""
"Total retail sales per capita, 2012","(c)","$7,470","","$12,527","","$5,722","","$19,868","","$6,654","","$12,184",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","28.6","","20.8","","26.6","","32.6","","28.3","","31.8",""
"Median household income (in 2019 dollars), 2015-2019","","$53,672","","$51,416","","$48,820","","$115,246","","$57,585","","$68,044",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$23,011","","$29,035","","$28,757","","$72,466","","$22,853","","$34,156",""
"Persons in poverty, percent","","17.0%","","14.0%","","15.1%","","6.9%","","17.6%","","13.4%",""
"Total employer establishments, 2018","","3,140","","2,472","","312","","10,091","","1,984","","280,826",""
"Total employment, 2018","","46,063","","23,683","","2,528","","101,704","","27,141","","3,869,073",""
"Total annual payroll, 2018 ($1,000)","","1,776,766","","926,856","","87,817","","7,392,513","","1,216,841","","235,841,957",""
"Total employment, percent change, 2017-2018","","0.8%","","Z","","2.6%","","0.3%","","1.4%","","1.3%",""
"Total nonemployer establishments, 2018","","11,717","","8,390","","1,376","","38,207","","7,504","","1,107,080",""
"All firms, 2012","","12,848","","9,569","","1,529","","39,815","","8,094","","1,146,701",""
"Men-owned firms, 2012","","7,163","","4,763","","733","","19,795","","3,888","","601,676",""
"Women-owned firms, 2012","","4,071","","3,226","","586","","15,500","","3,202","","439,513",""
"Minority-owned firms, 2012","","6,912","","1,518","","189","","5,813","","3,203","","631,218",""
"Nonminority-owned firms, 2012","","5,448","","7,528","","1,246","","32,232","","4,524","","481,643",""
"Veteran-owned firms, 2012","","1,060","","762","","162","","3,304","","618","","69,608",""
"Nonveteran-owned firms, 2012","","11,149","","8,242","","1,285","","34,571","","7,044","","1,044,750",""
"Population per square mile, 2010","","132.2","","25.1","","12.6","","485.1","","70.6","","2,419.6",""
"Land area in square miles, 2010","","1,934.97","","3,506.34","","1,448.82","","520.31","","2,137.07","","4,057.88",""
"FIPS Code","","""06047""","","""06045""","","""06043""","","""06041""","","""06039""","","""06037""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
