"Fact","Fact Note","Orange County, California","Value Note for Orange County, California","Nevada County, California","Value Note for Nevada County, California","Napa County, California","Value Note for Napa County, California","Monterey County, California","Value Note for Monterey County, California","Mono County, California","Value Note for Mono County, California","Modoc County, California","Value Note for Modoc County, California"
"Persons in poverty, percent","","9.5%","","9.4%","","7.4%","","12.6%","","10.1%","","20.5%",""
"Total employer establishments, 2018","","98,442","","3,108","","4,317","","8,765","","614","","154",""
"Total employment, 2018","","1,531,111","","29,483","","64,285","","116,241","","7,036","","1,137",""
"Total annual payroll, 2018 ($1,000)","","91,976,053","","1,230,985","","3,588,207","","5,533,432","","226,382","","45,228",""
"Total employment, percent change, 2017-2018","","1.9%","","1.4%","","0.2%","","2.7%","","4.1%","","-8.3%",""
"Total nonemployer establishments, 2018","","323,593","","12,499","","12,334","","25,963","","1,443","","590",""
"All firms, 2012","","340,116","","11,822","","14,236","","30,151","","1,750","","427",""
"Men-owned firms, 2012","","180,456","","6,086","","7,574","","15,108","","987","","162",""
"Women-owned firms, 2012","","119,431","","3,818","","4,309","","10,537","","518","","194",""
"Minority-owned firms, 2012","","145,603","","1,029","","3,192","","11,087","","230","","55",""
"Nonminority-owned firms, 2012","","182,028","","10,382","","10,398","","17,358","","1,467","","350",""
"Veteran-owned firms, 2012","","22,774","","1,136","","1,446","","2,414","","256","","40",""
"Nonveteran-owned firms, 2012","","303,786","","9,929","","11,880","","25,705","","1,367","","347",""
"Population per square mile, 2010","","3,807.7","","103.1","","182.4","","126.5","","4.7","","2.5",""
"Land area in square miles, 2010","","790.57","","957.77","","748.36","","3,280.60","","3,048.98","","3,917.77",""
"FIPS Code","","""06059""","","""06057""","","""06055""","","""06053""","","""06051""","","""06049""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
